S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1372,09-06-2020,Chhattisgarh,1160,848,308,4
1373,10-06-2020,Chhattisgarh,1240,848,386,6
1374,11-06-2020,Chhattisgarh,1262,854,402,6
1375,12-06-2020,Chhattisgarh,1398,945,447,6
1376,13-06-2020,Chhattisgarh,1429,873,550,6
1377,14-06-2020,Chhattisgarh,1512,875,631,6
1378,15-06-2020,Chhattisgarh,1662,891,763,8
1379,16-06-2020,Chhattisgarh,1756,858,890,8
1380,17-06-2020,Chhattisgarh,1781,736,1036,9
1381,18-06-2020,Chhattisgarh,1864,674,1180,10
1382,19-06-2020,Chhattisgarh,1946,708,1228,10
1383,20-06-2020,Chhattisgarh,2028,687,1331,10
1384,21-06-2020,Chhattisgarh,2041,636,1394,11
1385,22-06-2020,Chhattisgarh,2275,817,1447,11
1386,23-06-2020,Chhattisgarh,2303,778,1513,12
1387,24-06-2020,Chhattisgarh,2362,797,1553,12
1388,25-06-2020,Chhattisgarh,2419,780,1627,12
1389,26-06-2020,Chhattisgarh,2452,685,1755,12
1390,27-06-2020,Chhattisgarh,2545,618,1914,13
1391,28-06-2020,Chhattisgarh,2545,618,1914,13
1392,29-06-2020,Chhattisgarh,2662,558,2091,13
1393,30-06-2020,Chhattisgarh,2761,575,2173,13
1394,01-07-2020,Chhattisgarh,2860,597,2250,13
1395,02-07-2020,Chhattisgarh,2940,623,2303,14
1396,03-07-2020,Chhattisgarh,3013,614,2385,14
1397,04-07-2020,Chhattisgarh,3065,614,2437,14
1398,05-07-2020,Chhattisgarh,3161,598,2549,14
1399,06-07-2020,Chhattisgarh,3207,592,2601,14
1400,07-07-2020,Chhattisgarh,3305,624,2667,14
1401,08-07-2020,Chhattisgarh,3415,650,2751,14
1402,09-07-2020,Chhattisgarh,3525,676,2835,14
1403,10-07-2020,Chhattisgarh,3675,757,2903,15
1404,11-07-2020,Chhattisgarh,3767,722,3028,17
1405,12-07-2020,Chhattisgarh,3897,810,3070,17
1406,13-07-2020,Chhattisgarh,4059,887,3153,19
1407,14-07-2020,Chhattisgarh,4217,996,3202,19
1408,15-07-2020,Chhattisgarh,4379,1084,3275,20
1409,16-07-2020,Chhattisgarh,4539,1195,3324,20
1410,17-07-2020,Chhattisgarh,4732,1260,3451,21
1411,18-07-2020,Chhattisgarh,4964,1429,3512,23
1412,19-07-2020,Chhattisgarh,5233,1551,3658,24
1413,20-07-2020,Chhattisgarh,5407,1608,3775,24
1414,21-07-2020,Chhattisgarh,5561,1592,3944,25
1415,22-07-2020,Chhattisgarh,5729,1586,4114,29
1416,23-07-2020,Chhattisgarh,5968,1709,4230,29
1417,24-07-2020,Chhattisgarh,6254,1847,4377,30
1418,25-07-2020,Chhattisgarh,6731,2128,4567,36
1419,26-07-2020,Chhattisgarh,7087,2365,4683,39
1420,27-07-2020,Chhattisgarh,7450,2463,4944,43
1421,28-07-2020,Chhattisgarh,7745,2529,5172,44
1422,29-07-2020,Chhattisgarh,8257,2772,5439,46
1423,30-07-2020,Chhattisgarh,8539,2855,5636,48
1424,31-07-2020,Chhattisgarh,8761,2789,5921,51
1425,01-08-2020,Chhattisgarh,9086,2803,6230,53
1426,02-08-2020,Chhattisgarh,9385,2720,6610,55
1427,03-08-2020,Chhattisgarh,9531,2482,6991,58
1428,04-08-2020,Chhattisgarh,9779,2462,7256,61
1429,05-08-2020,Chhattisgarh,10202,2520,7613,69
1430,06-08-2020,Chhattisgarh,10407,2465,7871,71
1431,07-08-2020,Chhattisgarh,10932,2767,8088,77
1432,08-08-2020,Chhattisgarh,11408,3002,8319,87
1433,09-08-2020,Chhattisgarh,11743,3072,8582,89
1434,10-08-2020,Chhattisgarh,12148,3243,8809,96
1435,11-08-2020,Chhattisgarh,12448,3336,9013,99
1436,12-08-2020,Chhattisgarh,12929,3586,9239,104
1437,13-08-2020,Chhattisgarh,13498,3881,9508,109
1438,14-08-2020,Chhattisgarh,13937,4165,9658,114
1439,15-08-2020,Chhattisgarh,14481,4494,9857,130
1440,16-08-2020,Chhattisgarh,14987,4807,10046,134
1441,17-08-2020,Chhattisgarh,15471,5095,10235,141
1442,18-08-2020,Chhattisgarh,16025,5277,10598,150
1443,19-08-2020,Chhattisgarh,16833,5828,10847,158
1444,20-08-2020,Chhattisgarh,17485,6139,11185,161
1445,21-08-2020,Chhattisgarh,18501,6594,11739,168
1446,22-08-2020,Chhattisgarh,19510,7308,12022,180
1447,23-08-2020,Chhattisgarh,20078,7495,12394,189
1448,24-08-2020,Chhattisgarh,20918,7790,12931,197
1449,25-08-2020,Chhattisgarh,22054,8424,13424,206
1450,26-08-2020,Chhattisgarh,23341,9388,13732,221
1451,27-08-2020,Chhattisgarh,24550,10174,14145,231
1452,28-08-2020,Chhattisgarh,25988,11136,14607,245
1453,29-08-2020,Chhattisgarh,27233,11873,15109,251
1454,30-08-2020,Chhattisgarh,28746,12666,15818,262
1455,31-08-2020,Chhattisgarh,30092,13520,16303,269
1456,01-09-2020,Chhattisgarh,31503,14237,16989,277
1457,02-09-2020,Chhattisgarh,33387,15533,17567,287
1458,03-09-2020,Chhattisgarh,35683,17164,18220,299
1459,04-09-2020,Chhattisgarh,37967,18702,18950,315
1460,05-09-2020,Chhattisgarh,40634,20672,19625,337
1461,06-09-2020,Chhattisgarh,43163,22320,20487,356
1462,07-09-2020,Chhattisgarh,45263,23685,21198,380
1463,08-09-2020,Chhattisgarh,47280,24708,22177,395
1464,09-09-2020,Chhattisgarh,50114,26915,22792,407
1465,10-09-2020,Chhattisgarh,52932,28041,24414,477
1466,11-09-2020,Chhattisgarh,55680,29332,25855,493
1467,12-09-2020,Chhattisgarh,58643,31001,27123,519
1468,13-09-2020,Chhattisgarh,61763,33246,27978,539
1469,14-09-2020,Chhattisgarh,63991,31505,31931,555
1470,15-09-2020,Chhattisgarh,67327,33645,33109,573
1471,16-09-2020,Chhattisgarh,70777,35909,34279,589
1472,17-09-2020,Chhattisgarh,73966,37470,35885,611
1473,18-09-2020,Chhattisgarh,77775,36036,41111,628
1474,19-09-2020,Chhattisgarh,81617,36580,44392,645
1475,20-09-2020,Chhattisgarh,84234,37489,46081,664
1476,21-09-2020,Chhattisgarh,86183,37853,47653,677
1477,22-09-2020,Chhattisgarh,88181,37927,49564,690
1478,09-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1479,10-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1480,11-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1481,12-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1482,13-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1483,14-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1484,15-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1485,16-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1486,17-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1487,18-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1488,19-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1489,20-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1490,21-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1491,22-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1492,23-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
1493,24-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1494,25-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1495,26-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1496,27-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1497,28-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1498,29-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1499,30-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1500,31-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1501,01-06-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
1502,02-06-2020,Dadra and Nagar Haveli and Daman and Diu,3,2,1,0
1503,03-06-2020,Dadra and Nagar Haveli and Daman and Diu,4,3,1,0
1504,04-06-2020,Dadra and Nagar Haveli and Daman and Diu,8,7,1,0
1505,05-06-2020,Dadra and Nagar Haveli and Daman and Diu,12,11,1,0
1506,06-06-2020,Dadra and Nagar Haveli and Daman and Diu,14,13,1,0
1507,07-06-2020,Dadra and Nagar Haveli and Daman and Diu,19,18,1,0
1508,08-06-2020,Dadra and Nagar Haveli and Daman and Diu,20,18,2,0
1509,09-06-2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
1510,10-06-2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
1511,11-06-2020,Dadra and Nagar Haveli and Daman and Diu,28,26,2,0
1512,12-06-2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
1513,13-06-2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
1514,14-06-2020,Dadra and Nagar Haveli and Daman and Diu,35,33,2,0
1515,15-06-2020,Dadra and Nagar Haveli and Daman and Diu,36,34,2,0
1516,16-06-2020,Dadra and Nagar Haveli and Daman and Diu,36,31,5,0
1517,17-06-2020,Dadra and Nagar Haveli and Daman and Diu,45,36,9,0
1518,18-06-2020,Dadra and Nagar Haveli and Daman and Diu,57,45,12,0
1519,19-06-2020,Dadra and Nagar Haveli and Daman and Diu,58,45,13,0
1520,20-06-2020,Dadra and Nagar Haveli and Daman and Diu,62,48,14,0
1521,21-06-2020,Dadra and Nagar Haveli and Daman and Diu,68,42,26,0
1522,22-06-2020,Dadra and Nagar Haveli and Daman and Diu,88,62,26,0
1523,23-06-2020,Dadra and Nagar Haveli and Daman and Diu,91,64,27,0
1524,24-06-2020,Dadra and Nagar Haveli and Daman and Diu,120,91,29,0
1525,25-06-2020,Dadra and Nagar Haveli and Daman and Diu,120,90,30,0
1526,26-06-2020,Dadra and Nagar Haveli and Daman and Diu,155,123,32,0
1527,27-06-2020,Dadra and Nagar Haveli and Daman and Diu,163,122,41,0
1528,28-06-2020,Dadra and Nagar Haveli and Daman and Diu,177,122,55,0
1529,29-06-2020,Dadra and Nagar Haveli and Daman and Diu,178,118,60,0
1530,30-06-2020,Dadra and Nagar Haveli and Daman and Diu,203,126,77,0
1531,01-07-2020,Dadra and Nagar Haveli and Daman and Diu,213,131,82,0
1532,02-07-2020,Dadra and Nagar Haveli and Daman and Diu,215,129,86,0
1533,03-07-2020,Dadra and Nagar Haveli and Daman and Diu,230,141,89,0
1534,04-07-2020,Dadra and Nagar Haveli and Daman and Diu,257,161,96,0
1535,05-07-2020,Dadra and Nagar Haveli and Daman and Diu,271,175,96,0
1536,06-07-2020,Dadra and Nagar Haveli and Daman and Diu,271,165,106,0
1537,07-07-2020,Dadra and Nagar Haveli and Daman and Diu,297,183,114,0
1538,08-07-2020,Dadra and Nagar Haveli and Daman and Diu,405,222,183,0
1539,09-07-2020,Dadra and Nagar Haveli and Daman and Diu,408,224,184,0
1540,10-07-2020,Dadra and Nagar Haveli and Daman and Diu,411,222,189,0
1541,11-07-2020,Dadra and Nagar Haveli and Daman and Diu,459,248,211,0
1542,12-07-2020,Dadra and Nagar Haveli and Daman and Diu,471,245,226,0
1543,13-07-2020,Dadra and Nagar Haveli and Daman and Diu,479,234,245,0
1544,14-07-2020,Dadra and Nagar Haveli and Daman and Diu,495,226,268,1
1545,15-07-2020,Dadra and Nagar Haveli and Daman and Diu,520,209,310,1
1546,16-07-2020,Dadra and Nagar Haveli and Daman and Diu,539,180,357,2
1547,17-07-2020,Dadra and Nagar Haveli and Daman and Diu,552,179,371,2
1548,18-07-2020,Dadra and Nagar Haveli and Daman and Diu,585,182,401,2
1549,19-07-2020,Dadra and Nagar Haveli and Daman and Diu,602,186,414,2
1550,20-07-2020,Dadra and Nagar Haveli and Daman and Diu,605,189,414,2
1551,21-07-2020,Dadra and Nagar Haveli and Daman and Diu,684,234,448,2
1552,22-07-2020,Dadra and Nagar Haveli and Daman and Diu,705,240,463,2
1553,23-07-2020,Dadra and Nagar Haveli and Daman and Diu,733,257,474,2
1554,24-07-2020,Dadra and Nagar Haveli and Daman and Diu,770,279,489,2
1555,25-07-2020,Dadra and Nagar Haveli and Daman and Diu,815,301,512,2
1556,26-07-2020,Dadra and Nagar Haveli and Daman and Diu,860,328,530,2
1557,27-07-2020,Dadra and Nagar Haveli and Daman and Diu,914,362,550,2
1558,28-07-2020,Dadra and Nagar Haveli and Daman and Diu,946,380,564,2
1559,29-07-2020,Dadra and Nagar Haveli and Daman and Diu,982,384,596,2
1560,30-07-2020,Dadra and Nagar Haveli and Daman and Diu,1026,376,648,2
1561,31-07-2020,Dadra and Nagar Haveli and Daman and Diu,1064,394,668,2
1562,01-08-2020,Dadra and Nagar Haveli and Daman and Diu,1100,412,686,2
1563,02-08-2020,Dadra and Nagar Haveli and Daman and Diu,1145,418,725,2
1564,03-08-2020,Dadra and Nagar Haveli and Daman and Diu,1184,416,766,2
1565,04-08-2020,Dadra and Nagar Haveli and Daman and Diu,1274,412,860,2
1566,05-08-2020,Dadra and Nagar Haveli and Daman and Diu,1325,404,919,2
1567,06-08-2020,Dadra and Nagar Haveli and Daman and Diu,1366,404,960,2
1568,07-08-2020,Dadra and Nagar Haveli and Daman and Diu,1391,416,973,2
1569,08-08-2020,Dadra and Nagar Haveli and Daman and Diu,1437,421,1014,2
1570,09-08-2020,Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2
1571,10-08-2020,Dadra and Nagar Haveli and Daman and Diu,1564,441,1121,2
1572,11-08-2020,Dadra and Nagar Haveli and Daman and Diu,1613,444,1167,2
1573,12-08-2020,Dadra and Nagar Haveli and Daman and Diu,1653,442,1209,2
1574,13-08-2020,Dadra and Nagar Haveli and Daman and Diu,1696,446,1248,2
1575,14-08-2020,Dadra and Nagar Haveli and Daman and Diu,1752,458,1292,2
1576,15-08-2020,Dadra and Nagar Haveli and Daman and Diu,1797,464,1331,2
1577,16-08-2020,Dadra and Nagar Haveli and Daman and Diu,1843,457,1384,2
1578,17-08-2020,Dadra and Nagar Haveli and Daman and Diu,1878,445,1431,2
1579,18-08-2020,Dadra and Nagar Haveli and Daman and Diu,1908,447,1459,2
1580,19-08-2020,Dadra and Nagar Haveli and Daman and Diu,1951,425,1524,2
1581,20-08-2020,Dadra and Nagar Haveli and Daman and Diu,1995,389,1604,2
1582,21-08-2020,Dadra and Nagar Haveli and Daman and Diu,2030,401,1627,2
1583,22-08-2020,Dadra and Nagar Haveli and Daman and Diu,2082,428,1652,2
1584,23-08-2020,Dadra and Nagar Haveli and Daman and Diu,2120,416,1702,2
1585,24-08-2020,Dadra and Nagar Haveli and Daman and Diu,2161,406,1753,2
1586,25-08-2020,Dadra and Nagar Haveli and Daman and Diu,2181,393,1786,2
1587,26-08-2020,Dadra and Nagar Haveli and Daman and Diu,2203,381,1820,2
1588,27-08-2020,Dadra and Nagar Haveli and Daman and Diu,2228,364,1862,2
1589,28-08-2020,Dadra and Nagar Haveli and Daman and Diu,2266,348,1916,2
1590,29-08-2020,Dadra and Nagar Haveli and Daman and Diu,2290,328,1960,2
1591,30-08-2020,Dadra and Nagar Haveli and Daman and Diu,2306,306,1998,2
1592,31-08-2020,Dadra and Nagar Haveli and Daman and Diu,2340,296,2042,2
1593,01-09-2020,Dadra and Nagar Haveli and Daman and Diu,2367,284,2081,2
1594,02-09-2020,Dadra and Nagar Haveli and Daman and Diu,2386,262,2122,2
1595,03-09-2020,Dadra and Nagar Haveli and Daman and Diu,2435,292,2141,2
1596,04-09-2020,Dadra and Nagar Haveli and Daman and Diu,2450,294,2154,2
1597,05-09-2020,Dadra and Nagar Haveli and Daman and Diu,2467,285,2180,2
1598,06-09-2020,Dadra and Nagar Haveli and Daman and Diu,2537,301,2234,2
1599,07-09-2020,Dadra and Nagar Haveli and Daman and Diu,2575,302,2271,2
1600,08-09-2020,Dadra and Nagar Haveli and Daman and Diu,2590,297,2291,2
1601,09-09-2020,Dadra and Nagar Haveli and Daman and Diu,2617,294,2321,2
1602,10-09-2020,Dadra and Nagar Haveli and Daman and Diu,2643,295,2346,2
1603,11-09-2020,Dadra and Nagar Haveli and Daman and Diu,2671,294,2375,2
1604,12-09-2020,Dadra and Nagar Haveli and Daman and Diu,2695,280,2413,2
1605,13-09-2020,Dadra and Nagar Haveli and Daman and Diu,2725,279,2444,2
1606,14-09-2020,Dadra and Nagar Haveli and Daman and Diu,2745,255,2488,2
1607,15-09-2020,Dadra and Nagar Haveli and Daman and Diu,2763,248,2513,2
1608,16-09-2020,Dadra and Nagar Haveli and Daman and Diu,2783,229,2552,2
1609,17-09-2020,Dadra and Nagar Haveli and Daman and Diu,2810,233,2575,2
1610,18-09-2020,Dadra and Nagar Haveli and Daman and Diu,2831,221,2608,2
1611,19-09-2020,Dadra and Nagar Haveli and Daman and Diu,2859,218,2639,2
1612,20-09-2020,Dadra and Nagar Haveli and Daman and Diu,2887,208,2677,2
1613,21-09-2020,Dadra and Nagar Haveli and Daman and Diu,2924,229,2693,2
1614,22-09-2020,Dadra and Nagar Haveli and Daman and Diu,2933,220,2711,2
1615,12-03-2020,Delhi,6,6,0,0
1616,13-03-2020,Delhi,6,6,0,0
1617,14-03-2020,Delhi,7,5,1,1
1618,15-03-2020,Delhi,7,4,2,1
1619,16-03-2020,Delhi,7,4,2,1
1620,17-03-2020,Delhi,8,5,2,1
1621,18-03-2020,Delhi,10,7,2,1
1622,19-03-2020,Delhi,12,9,2,1
1623,20-03-2020,Delhi,17,13,3,1
1624,21-03-2020,Delhi,26,20,5,1
1625,22-03-2020,Delhi,29,23,5,1
1626,23-03-2020,Delhi,29,23,5,1
1627,24-03-2020,Delhi,31,24,6,1
1628,25-03-2020,Delhi,30,22,6,2
1629,26-03-2020,Delhi,35,28,6,1
1630,27-03-2020,Delhi,36,29,6,1
1631,28-03-2020,Delhi,39,32,6,1
1632,29-03-2020,Delhi,39,31,6,2
1633,30-03-2020,Delhi,53,45,6,2
1634,31-03-2020,Delhi,97,89,6,2
1635,01-04-2020,Delhi,120,112,6,2
1636,02-04-2020,Delhi,152,144,6,2
1637,03-04-2020,Delhi,219,207,8,4
1638,04-04-2020,Delhi,386,372,8,6
1639,05-04-2020,Delhi,445,424,15,6
1640,06-04-2020,Delhi,503,478,18,7
1641,07-04-2020,Delhi,523,497,19,7
1642,08-04-2020,Delhi,576,546,21,9
1643,09-04-2020,Delhi,669,639,21,9
1644,10-04-2020,Delhi,720,683,25,12
1645,11-04-2020,Delhi,903,865,25,13
1646,12-04-2020,Delhi,1069,1025,25,19
1647,13-04-2020,Delhi,1154,1103,27,24
1648,14-04-2020,Delhi,1510,1452,30,28
1649,15-04-2020,Delhi,1561,1501,30,30
1650,16-04-2020,Delhi,1578,1506,40,32
1651,17-04-2020,Delhi,1640,1551,51,38
1652,18-04-2020,Delhi,1707,1593,72,42
1653,19-04-2020,Delhi,1893,1779,72,42
1654,20-04-2020,Delhi,2003,1886,72,45
1655,21-04-2020,Delhi,2081,1603,431,47
1656,22-04-2020,Delhi,2156,1498,611,47
1657,23-04-2020,Delhi,2248,1476,724,48
1658,24-04-2020,Delhi,2376,1518,808,50
1659,25-04-2020,Delhi,2514,1604,857,53
1660,26-04-2020,Delhi,2625,1702,869,54
1661,27-04-2020,Delhi,2918,1987,877,54
1662,28-04-2020,Delhi,3108,2177,877,54
1663,29-04-2020,Delhi,3314,2182,1078,54
1664,30-04-2020,Delhi,3439,2291,1092,56
1665,01-05-2020,Delhi,3515,2362,1094,59
1666,02-05-2020,Delhi,3738,2510,1167,61
1667,03-05-2020,Delhi,4122,2802,1256,64
1668,04-05-2020,Delhi,4549,3123,1362,64
1669,05-05-2020,Delhi,4898,3403,1431,64
1670,06-05-2020,Delhi,5104,3572,1468,64
1671,07-05-2020,Delhi,5532,3925,1542,65
1672,08-05-2020,Delhi,5980,3983,1931,66
1673,09-05-2020,Delhi,6318,4230,2020,68
1674,10-05-2020,Delhi,6542,4449,2020,73
1675,11-05-2020,Delhi,6923,4781,2069,73
1676,12-05-2020,Delhi,7233,5031,2129,73
1677,13-05-2020,Delhi,7639,5041,2512,86
1678,14-05-2020,Delhi,7998,5034,2858,106
1679,15-05-2020,Delhi,8470,5310,3045,115
1680,16-05-2020,Delhi,8895,5254,3518,123
1681,17-05-2020,Delhi,9333,5278,3926,129
1682,18-05-2020,Delhi,10054,5409,4485,160
1683,19-05-2020,Delhi,10054,5401,4485,168
1684,20-05-2020,Delhi,10554,5636,4750,168
1685,21-05-2020,Delhi,11088,5720,5192,176
1686,22-05-2020,Delhi,11659,5898,5567,194
1687,23-05-2020,Delhi,12319,6214,5897,208
1688,24-05-2020,Delhi,12910,6412,6267,231
1689,25-05-2020,Delhi,13418,6617,6540,261
1690,26-05-2020,Delhi,14053,7006,6771,276
1691,27-05-2020,Delhi,14465,6954,7223,288
1692,28-05-2020,Delhi,15257,7690,7264,303
1693,29-05-2020,Delhi,16281,8470,7495,316
1694,30-05-2020,Delhi,17386,9142,7846,398
1695,31-05-2020,Delhi,18549,10058,8075,416
1696,01-06-2020,Delhi,19844,10893,8478,473
1697,02-06-2020,Delhi,20834,11565,8746,523
1698,03-06-2020,Delhi,22132,12333,9243,556
1699,04-06-2020,Delhi,23645,13497,9542,606
1700,05-06-2020,Delhi,25004,14456,9898,650
1701,06-06-2020,Delhi,26334,15311,10315,708
1702,07-06-2020,Delhi,27654,16229,10664,761
1703,08-06-2020,Delhi,27654,16229,10664,761
1704,09-06-2020,Delhi,29943,17712,11357,874
1705,10-06-2020,Delhi,31309,18543,11861,905
1706,11-06-2020,Delhi,32810,19581,12245,984
1707,12-06-2020,Delhi,34687,20871,12731,1085
1708,13-06-2020,Delhi,36824,22212,13398,1214
1709,14-06-2020,Delhi,38958,22742,14945,1271
1710,15-06-2020,Delhi,41182,24032,15823,1327
1711,16-06-2020,Delhi,42829,25002,16427,1400
1712,17-06-2020,Delhi,44688,26351,16500,1837
1713,18-06-2020,Delhi,47102,27741,17457,1904
1714,19-06-2020,Delhi,49979,26669,21341,1969
1715,20-06-2020,Delhi,53116,27512,23569,2035
1716,21-06-2020,Delhi,56746,23340,31294,2112
1717,22-06-2020,Delhi,59746,24558,33013,2175
1718,23-06-2020,Delhi,62655,23820,36602,2233
1719,24-06-2020,Delhi,66602,24988,39313,2301
1720,25-06-2020,Delhi,70390,26588,41437,2365
1721,26-06-2020,Delhi,73780,26586,44765,2429
1722,27-06-2020,Delhi,77240,27657,47091,2492
1723,28-06-2020,Delhi,80188,28329,49301,2558
1724,29-06-2020,Delhi,83077,27847,52607,2623
1725,30-06-2020,Delhi,85161,26246,56235,2680
1726,01-07-2020,Delhi,87360,26270,58348,2742
1727,02-07-2020,Delhi,89802,27007,59992,2803
1728,03-07-2020,Delhi,92175,26304,63007,2864
1729,04-07-2020,Delhi,94695,26148,65624,2923
1730,05-07-2020,Delhi,97200,25940,68256,3004
1731,06-07-2020,Delhi,99444,25038,71339,3067
1732,07-07-2020,Delhi,100823,25620,72088,3115
1733,08-07-2020,Delhi,102831,25449,74217,3165
1734,09-07-2020,Delhi,104864,23452,78199,3213
1735,10-07-2020,Delhi,107051,21567,82226,3258
1736,11-07-2020,Delhi,109140,21146,84694,3300
1737,12-07-2020,Delhi,110921,19895,87692,3334
1738,13-07-2020,Delhi,112494,19155,89968,3371
1739,14-07-2020,Delhi,113740,19017,91312,3411
1740,15-07-2020,Delhi,115346,18664,93236,3446
1741,16-07-2020,Delhi,116993,17807,95699,3487
1742,17-07-2020,Delhi,118645,17407,97693,3545
1743,18-07-2020,Delhi,120107,17235,99301,3571
1744,19-07-2020,Delhi,121582,16711,101274,3597
1745,20-07-2020,Delhi,122793,16031,103134,3628
1746,21-07-2020,Delhi,123747,15166,104918,3663
1747,22-07-2020,Delhi,125096,15288,106118,3690
1748,23-07-2020,Delhi,126323,14954,107650,3719
1749,24-07-2020,Delhi,127364,14554,109065,3745
1750,25-07-2020,Delhi,128389,13681,110931,3777
1751,26-07-2020,Delhi,129531,12657,113068,3806
1752,27-07-2020,Delhi,130606,11904,114875,3827
1753,28-07-2020,Delhi,131219,10994,116372,3853
1754,29-07-2020,Delhi,132275,10887,117507,3881
1755,30-07-2020,Delhi,133310,10770,118633,3907
1756,31-07-2020,Delhi,134403,10743,119724,3936
1757,01-08-2020,Delhi,135598,10705,120930,3963
1758,02-08-2020,Delhi,136716,10596,122131,3989
1759,03-08-2020,Delhi,137677,10356,123317,4004
1760,04-08-2020,Delhi,138482,10207,124254,4021
1761,05-08-2020,Delhi,139156,9897,125226,4033
1762,06-08-2020,Delhi,140232,10072,126116,4044
1763,07-08-2020,Delhi,141531,10348,127124,4059
1764,08-08-2020,Delhi,142723,10409,128232,4082
1765,09-08-2020,Delhi,144127,10667,129362,4098
1766,10-08-2020,Delhi,145427,10729,130587,4111
1767,11-08-2020,Delhi,146134,10346,131657,4131
1768,12-08-2020,Delhi,147391,10868,132384,4139
1769,13-08-2020,Delhi,148504,10946,133405,4153
1770,14-08-2020,Delhi,149460,10975,134318,4167
1771,15-08-2020,Delhi,150652,11366,135108,4178
1772,16-08-2020,Delhi,151928,11489,136251,4188
1773,17-08-2020,Delhi,152580,10823,137561,4196
1774,18-08-2020,Delhi,153367,10852,138301,4214
1775,19-08-2020,Delhi,154741,11068,139447,4226
1776,20-08-2020,Delhi,156139,11137,140767,4235
1777,21-08-2020,Delhi,157354,11271,141826,4257
1778,22-08-2020,Delhi,158604,11426,142908,4270
1779,23-08-2020,Delhi,160016,11594,144138,4284
1780,24-08-2020,Delhi,161466,11778,145388,4300
1781,25-08-2020,Delhi,162527,11626,146588,4313
1782,26-08-2020,Delhi,164071,11998,147743,4330
1783,27-08-2020,Delhi,165764,12520,148897,4347
1784,28-08-2020,Delhi,167604,13208,150027,4369
1785,29-08-2020,Delhi,169412,13550,151473,4389
1786,30-08-2020,Delhi,171366,14040,152922,4404
1787,31-08-2020,Delhi,173390,14793,154171,4426
1788,01-09-2020,Delhi,174748,14626,155678,4444
1789,02-09-2020,Delhi,177060,15870,156728,4462
1790,03-09-2020,Delhi,179569,16502,158586,4481
1791,04-09-2020,Delhi,182306,17692,160114,4500
1792,05-09-2020,Delhi,185220,18842,161865,4513
1793,06-09-2020,Delhi,188193,19870,163785,4538
1794,07-09-2020,Delhi,191449,20909,165973,4567
1795,08-09-2020,Delhi,193526,20543,168384,4599
1796,09-09-2020,Delhi,197135,22377,170140,4618
1797,10-09-2020,Delhi,201174,23773,172763,4638
1798,11-09-2020,Delhi,205482,25416,175400,4666
1799,12-09-2020,Delhi,209748,26907,178154,4687
1800,13-09-2020,Delhi,214069,28059,181295,4715
1801,14-09-2020,Delhi,218304,28812,184748,4744
1802,15-09-2020,Delhi,221533,28641,188122,4770
1803,16-09-2020,Delhi,225796,29787,191203,4806
1804,17-09-2020,Delhi,230269,30914,194516,4839
1805,18-09-2020,Delhi,234701,31721,198103,4877
1806,19-09-2020,Delhi,238828,32250,201671,4907
1807,20-09-2020,Delhi,242899,32064,205890,4945
1808,21-09-2020,Delhi,246711,32097,209632,4982
1809,22-09-2020,Delhi,249259,30941,213304,5014
1810,26-03-2020,Goa,3,3,0,0
1811,27-03-2020,Goa,3,3,0,0
1812,28-03-2020,Goa,3,3,0,0
1813,29-03-2020,Goa,3,3,0,0
1814,30-03-2020,Goa,5,5,0,0
1815,31-03-2020,Goa,5,5,0,0
1816,01-04-2020,Goa,5,5,0,0
1817,02-04-2020,Goa,5,5,0,0
